=== 03:46:41
rule 17 | compiling | - attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:34:07
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:34:17
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:34:28
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:34:38
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:34:48
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:34:58
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:35:08
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:35:18
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:35:29
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:35:39
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:35:49
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:35:59
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:36:09
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:36:19
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:36:30
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:36:40
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:36:50
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:37:00
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:37:10
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:37:20
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:37:31
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:37:41
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:37:51
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:38:01
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:38:11
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:38:21
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:38:31
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:38:42
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:38:52
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:39:02
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:39:12
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:39:22
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | active | 1 attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | active | 1 attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | active | 1 attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | active | 1 attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | active | 1 attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | active | 1 attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | active | 1 attempts | No erp entry (in the erp source or in others) with the same 
=== 04:39:32
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | active | 1 attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
